50.198,33.61
53.997,38.621
23.369,33.149
55.884,96.91
52.902,46.464
36.118,88.03
91.012,13.782
82.165,71.736
23.65,80.756
77.585,20.911
54.352,89.051
60.142,56.023
7.0866,66.838
46.649,99.098
7.7727,48.368
84.946,29.462
94.703,24.244
57.245,51.689
43.41,90.459
43.889,8.0169
98.305,85.572
40,66.242
98.484,12.346
6.2506,63.874
91.183,86.448
27.175,4.4692
16.643,57.535
75.414,20.952
75.649,81.671
74.053,4.7272
4.2244,38.08
39.156,38.702
70.903,9.9687
79.54,85.278
31.793,57.255
11.401,97.862
0.45005,94.924
19.768,62.902
50.124,26.659
43.93,57.255
53.571,78.234
51.819,45.105
6.9335,75.554
48.764,23.923
1.8645,88.379
77.989,27.361
90.743,88.493
92.437,84.878
24.899,38.829
53.56,10.985
56.188,90.452
69.626,5.0276
13.826,6.4066
62.193,48.219
83.223,98.127
58.901,42.982
65.982,40.556
30.817,45.443
16.845,5.3859
92.471,89.81
78.047,23.378
77.461,91.137
64.979,73.195
3.6015,38.754
29.988,48.799
16.513,5.306
90.011,52.967
68.077,96.373
9.7709,96.019
35.708,35.752
10.418,88.411
6.897,22.032
24.199,65.131
56.506,35.546
6.8498,14.683
36.456,68.644
79.04,15.168
20.977,16.063
15.033,43.871
56.439,91.446
11.434,57.895
80.044,60.03
0.9265,63.112
39.132,30.226
94.544,48.076
60.086,12.827
31.489,53.146
37.609,60.806
99.278,12.665
64.205,80.796
86.793,92.704
79.33,16.391
60.154,5.416
62.756,5.1241
45.953,21.53
94.678,30.934
63.673,8.2401
59.633,43.146
1.4359,55.455
41.089,1.764
3.9764,13.947
94.993,81.625
58.543,31.817
98.028,80.988
55.044,88.506
64.321,7.4567
12.864,40.299
68.631,51.451
7.2898,54.352
83.045,27.62
90.445,91.073
65.544,36.782
60.812,38.859
63.665,19.043
36.683,91.637
34.295,92.156
11.082,57.737
45.829,98.685
36.942,88.727
24.877,47.391
26.997,13.7
58.838,45.258
96.161,20.063
43.725,92.155
62.919,50.183
30.462,57.118
64.276,49.633
98.987,26.711
16.737,41.04
58.765,82.87
94.518,57.87
49.95,26.981
2.5695,18.473
49.362,26.572
88.284,0.97141
82.626,43.77
21.798,79.565
8.2035,99.129
21.445,11.576
52.935,46.215
30.381,25.692
52.32,19.365
25.454,25.365
21.662,63.753
22.714,61.524
46.181,73.13
58.812,20.056
10.524,16.914
87.359,80.217
79.293,13.148
52.224,4.4565
64.872,5.4321
32.052,36.786
57.722,11.196
25.519,56.673
85.014,72.884
85.042,78.681
75.277,7.1288
91.397,32.173
65.156,99.202
1.2808,62.888
25.248,93.137
99.73,92.511
12.621,53.918
67.098,91.371
91.721,65.026
15.513,59.088
69.004,74.765
84.017,61.192
3.6543,19.352
60.417,86.681
15.592,62.248
40.933,16.856
70.807,9.5354
22.516,18.969
